1= M 
2= L 
2= M.M. 
3= K 
3= M.M.M. 
4= I 
4= J 
5= H 
5= M.M.M.M.M. 
6= G 
6= Li 
7= F 
7= Ik 
8= E 
8= H.M.L. 
8= K.H. 
8= L.I.L. 
8= L.L.L.L. 
9= D 
9= K.K.K. 
10= C 
10= EL 
10= L.L.L.L.L. 
11= B 
11= EK 
12= A 
12= D.K. 
12= M.B. 
13= N 
14= I.C. 
14= J.C. 
14= J.F.K. 
14= O 
15= H.H.H. 
15= Ka 
15= LAM 
15= O.M. 
15= P 
16= IBM 
16= J.B.M. 
16= M.I.B. 
16= Q 
17= Aim (23) 
17= Gimli 
17= Ha 
17= Hell 
17= I AM 
17= Kal 
17= Khem 
17= OK 
17= R 
18= Iff 
18= IO 
18= I'o 
18= S 
19= D.C. 
19= T 
20= Egg 
20= U 
20= V 
21= Bel 
21= ECK 
21= Gimel 
21= I AM I 
21= Jah 
21= Kali 
21= Life 
21= Mu 
21= W 
22= B.B. 
22= Emma 
22= F.B.I. 
22= L.H.P. 
22= UL 
22= X 
23= Ab 
23= D.A.L. 
23= Elam 
23= H.G.A. 
23= H.P.K. 
23= Ku 
23= Loki 
23= Magi 
23= Y 
24= A.A. 
24= E.G.C. 
24= Igigi 
24= Kalki 
24= Leo 
24= M.B. M.B.
24= Z 
25= F.S. 
25= Geb 
25= H.H.H.H.H. 
25= HU 
25= I.M.U. 
25= K.M.W. 
25= O.B. 
25= R.H.K. 
25= S.K.I. 
26= A B K 
26= AGfM 
26= AO 
26= C.I.A. 
26= Had 
26= Hum 
26= Ilu 
26= King 
26= Man 
26= Mika'il 
27= Dimeh 
27= H.K.T. 
27= H.R.H. 
27= IHS 
27= Jod 
27= K.J.V. 
27= Lama 
27= Mehdi 
27= Milu 
27= O.M.A. 
27= ON 
27= Pa 
28= E.V. 
28= F.E.M.A. 
28= F.L.T. 
28= H.AB. 
28= Heka 
28= Huk 
28= IHOH 
28= Khu 
28= M.O.N. 
29= Aha! 
29= Ain 
29= God 
29= Helal 
29= Kala 
29= Maia 
29= Oak 
29= Q.B.L. 
29= Ra 
29= T.C.
29= Will 
30= C.C.C. 
30= IAO 
30= Irem 
30= OAI 
30= Zil 
31= A.T. 
31= Deo 
31= E.O.D. 
31= E-O-Ih 
31= H.P.B. 
31= IAOM 
31= Kihief 
31= Madimi 
31= Mahdi 
31= S.A.M. 
31= S.L.B. 
31= Sam 
31= U.B. 
31= Xem 
32= Agla 
32= B.B.C. 
32= B.E.A.M. 
32= Edom 
32= Lex 
32= Ulhim 
33= A.M.U. 
33= Abel 
33= Allah 
33= Ankh 
33= Aum 
33= Bael (1) 
33= Eloih 
33= Jew 
33= Lugh 
33= Magic 
33= Nu 
33= Pele 
33= Tile 
33= U.N. 
33= Yig 
34= Adam 
34= Bab 
34= C.F.R. 
34= DNA 
34= Elohim 
34= Gaia 
34= Head 
34= Hina 
34= I.C.U. 
34= IHVH
34= Isa 
34= JHVH 
34= Jihad 
34= Sol 
34= V.A.L. 
34= Vehm 
35= A.A.B. 
35= Agni 
35= Eckal 
35= Glon 
35= Gobi 
35= Hex 
35= IHWH 
35= JHWH 
35= Law 
35= Mal'akh 
35= Maldek 
35= Neo 
35= ONE 
35= Sin 
36= A.A.A. 
36= Algol 
36= Amy (58) 
36= Badi 
36= Bible 
36= C.N.N. 
36= D.A.P. 
36= Eagle 
36= Gemini 
36= Kane 
36= Lilith 
36= Magick 
36= NEMO 
36= S.P.K. 
36= S.S. 
36= U.G.L.E. 
36= Ummo 
36= Via 
37= Aluk 
37= Baal 
37= C.R.C. 
37= Chela 
37= D.D.T. 
37= F.I.G.U. 
37= Fool 
37= Gral 
37= Hagal 
37= Hua 
37= I AM U 
37= I.O.T. 
37= Islam
37= J.P.S. 
37= Kiblah 
37= Lumiel 
37= MABN 
37= Maui 
37= Odal 
37= Ohio 
37= R.H.P. 
37= Rigel 
37= Ru 
37= Seb 
37= U.R. 
38= Affa 
38= Balam (51) 
38= Black 
38= Bon 
38= ECU 
38= F.F.Z. 
38= G.W.B. 
38= I am Life 
38= I See 
38= I.N.R.I. 
38= Khidr 
38= Legis 
38= Maine 
38= Mana 
38= O.I.V. 
38= Ogham 
38= T.T. 
38= U.S. 
38= V.I.O. 
39= Belial (68) 
39= C.B.S. 
39= C.T.C. 
39= Cain 
39= Eye 
39= Five 
39= Got 
39= Hagall 
39= Hand 
39= Hiram 
39= Irmin 
39= O.N.A. 
39= Rael 
39= S.R.I. 
39= T.S.L. 
40= Ahab 
40= Amish 
40= Amon (7) 
40= Ave 
40= IAhOh
40= Inti 
40= Knigge 
40= Mung 
40= Odin 
40= Ose (57) 
40= OU MH 
40= P.A.N. 
40= Pan 
40= Tir 
40= Tum 
40= U.U. 
40= W.H.O. 
40= Yah 
41= Ajna 
41= Algedi 
41= Almala 
41= Ammon 
41= Angel 
41= C.E.T.I. 
41= Camio (53) 
41= Colom 
41= Dabih 
41= Dieu 
41= Gillon 
41= Grail 
41= H.R.T. 
41= Hawk 
41= Hiding 
41= Joy 
41= Madimiel 
41= Mecca 
41= Moloc 
41= Orc 
41= Pleja 
41= U.F.O. 
41= V.W. 
41= Vir 
42= Adad 
42= Akon 
42= Aleph 
42= Allala 
42= Dot 
42= Hera 
42= Hodge 
42= Hope 
42= Maldec 
42= Mammon 
42= Michael 
42= Miru 
42= Moon 
42= To Me
43= Aat 
43= Al A'in 
43= Devil 
43= FOX 
43= Goy 
43= Henok 
43= IAON 
43= Jahilia 
43= Jar El 
43= L.Y.S. 
43= Lia Fail 
43= Lono 
43= Lys 
43= Manni 
43= Naga 
43= Nommo 
43= Shu 
43= Vril 
44= Adolf 
44= Baha'i 
44= Fear 
44= FIAOF 
44= Haniel 
44= Hweig 
44= Idaho 
44= Isis 
44= Kneph 
44= Liber L 
44= Love 
44= LUX 
44= LVX 
44= Ma-ion 
44= Mani-O 
44= Mirfak 
44= Roma 
44= Six 
44= Wheel 
44= XCIII 
45= Aloha 
45= Binah 
45= Demon 
45= Dios 
45= Gaap (33) 
45= Gollum 
45= Greal 
45= Ignis 
45= Jor El 
45= Jubel 
45= Karma 
45= Melkor 
45= Merlin
45= P.O.E.E. 
45= P.P.P. 
45= Raja 
45= Set 
45= Skull 
45= Tomb 
45= Uhu 
45= Vine (45) 
45= Y X 
46= Adama 
46= Amun 
46= Benmeh 
46= Esu 
46= Fate 
46= G.H.R.S. 
46= God-Like 
46= Ieuo 
46= Libra 
46= M.E.S.T. 
46= Maria 
46= Moloch 
46= Muslim 
46= Not 
46= Nun 
46= O.N.T. 
46= P.M.C.V. 
46= S.E.M.T. 
46= Ti & Do 
46= Ton 
46= Yod 
